ARBGXIG122988F409D	Steel Rain	California - SF	37.77916	-122.42005
ARP6N5A1187B99D1A3	Mitch Ryder	Hamtramck, MI	NaN	NaN
ARBEBBY1187B9B43DB	Tom Petty	Gainesville, FL	NaN	NaN
AR7SMBG1187B9B9066	Los Manolos		NaN	NaN
AR36F9J1187FB406F1	Bombay Rockers	Denmark	56.27609	9.51695
ARGSAFR1269FB35070	Blingtones		NaN	NaN
ARNNKDK1187B98BBD5	Jinx	Zagreb Croatia	45.80726	15.967600000000001
AR62SOJ1187FB47BB5	Chase & Status		NaN	NaN
ARGCY1Y1187B9A4FA5	Gloriana	Nashville, TN.	36.16778	-86.77836
ARAGB2O1187FB3A161	Pucho & His Latin Soul Brothers		NaN	NaN
ARDR4AC1187FB371A1	Montserrat Caballé;Placido Domingo;Vicente Sardinero;Judith Blegen;Sherrill Milnes;Georg Solti		NaN	NaN
AREDL271187FB40F44	Soul Mekanik		NaN	NaN
ARKULSX1187FB45F84	Trafik	Utah	39.49974	-111.54732
AR9AWNF1187B9AB0B4	Kenny G featuring Daryl Hall	Seattle, Washington USA	NaN	NaN
ARMBR4Y1187B9990EB	David Martin	California - SF	37.77916	-122.42005
AR3JMC51187B9AE49D	Backstreet Boys	Orlando, FL	28.53823	-81.37739
ARPBNLO1187FB3D52F	Tiny Tim	New York, NY	40.71455	-74.00712
AR7ZKHQ1187B98DD73	Glad		NaN	NaN
AREDBBQ1187B98AFF5	Eddie Calvert		NaN	NaN
ARQ9BO41187FB5CF1F	John Davis	Pennsylvania	40.99471	-77.60454
ARD7TVE1187B99BFB1	Casual	California - LA	NaN	NaN
ARI2JSK1187FB496EF	Nick Ingman;Gavyn Wright	London, England	51.50632	-0.12714
AROGWRA122988FEE45	Christos Dantis		NaN	NaN
AREVWGE1187B9B890A	Bitter End	Noci (BA)	-13.442	-41.9952
ARULZCI1241B9C8611	Luna Orbit Project		NaN	NaN
ARVBRGZ1187FB4675A	Gwen Stefani		NaN	NaN
AR558FS1187FB45658	40 Grit		NaN	NaN
ARLTWXK1187FB5A3F8	King Curtis	Fort Worth, TX	32.74863	-97.32925
ARNF6401187FB57032	Sophie B. Hawkins	New York, NY [Manhattan]	40.79086	-73.96644
ARJIE2Y1187B994AB7	Line Renaud		NaN	NaN
AR0IAWL1187B9A96D0	Danilo Perez	Panama	8.4177	-80.11278
ARWB3G61187FB49404	Steve Morse	Hamilton, Ohio	NaN	NaN
AR8IEZO1187B99055E	Marc Shaiman		NaN	NaN
AR051KA1187B98B2FF	Wilks		NaN	NaN
ARPFHN61187FB575F6	Lupe Fiasco	Chicago, IL	41.88415	-87.63241
ARL7K851187B99ACD2	Andy Andy		NaN	NaN
AR1ZHYZ1187FB3C717	Faiz Ali Faiz		NaN	NaN
ARD842G1187B997376	Blue Rodeo	Toronto, Ontario, Canada	43.64856	-79.38533
ARHHO3O1187B989413	Bob Azzam		NaN	NaN
ARQGYP71187FB44566	Jimmy Wakely	Mineola, AR	34.31109	-94.02978
ARIK43K1187B9AE54C	Lionel Richie	Beverly Hills, CA	NaN	NaN
ARI3BMM1187FB4255E	Alice Stuart	Washington	38.8991	-77.029
ARNPAGP1241B9C7FD4	lextrical		NaN	NaN
ARIG6O41187B988BDD	Richard Souther	United States	37.16793	-95.84502
ARC43071187B990240	Wayne Watson	Wisner, LA	NaN	NaN
ARYKCQI1187FB3B18F	Tesla		NaN	NaN
ARKRRTF1187B9984DA	Sonora Santanera		NaN	NaN
AR10USD1187B99F3F1	Tweeterfriendly Music	Burlington, Ontario, Canada	NaN	NaN
ARXR32B1187FB57099	Gob		NaN	NaN
ARMJAGH1187FB546F3	The Box Tops	Memphis, TN	35.14968	-90.04892
ARGSJW91187B9B1D6B	JennyAnyKind	North Carolina	35.21962	-80.01955
ARD0S291187B9B7BF5	Rated R	Ohio	NaN	NaN
ARKFYS91187B98E58F	Jeff And Sheri Easter		NaN	NaN
ARNTLGG11E2835DDB9	Clp		NaN	NaN
AR8ZCNI1187B9A069B	Planet P Project		NaN	NaN
AR7G5I41187FB4CE6C	Adam Ant	London, England	NaN	NaN
AR5KOSW1187FB35FF4	Elena	Dubai UAE	49.80388	15.47491
ARGIWFO1187B9B55B7	Five Bolt Main		NaN	NaN
AR47JEX1187B995D81	SUE THOMPSON	Nevada, MO	37.83721	-94.35868
AR1Y2PT1187FB5B9CE	John Wesley	Brandon	27.94017	-82.32547
ARMAC4T1187FB3FA4C	The Dillinger Escape Plan	Morris Plains, NJ	40.82624	-74.47995
AROUOZZ1187B9ABE51	Willie Bobo	New York, NY [Spanish Harlem]	40.79195	-73.94512
ARDNS031187B9924F0	Tim Wilson	Georgia	32.67828	-83.22295
ARH4Z031187B9A71F2	Faye Adams	Newark, NJ	40.73197	-74.17418
AREBBGV1187FB523D2	Mike Jones (Featuring CJ_ Mello & Lil' Bran)	Houston, TX	NaN	NaN
ARGUVEV1187B98BA17	Sierra Maestra		NaN	NaN
ARAJPHH1187FB5566A	The Shangri-Las	Queens, NY	40.7038	-73.83168
AR0RCMP1187FB3F427	Billie Jo Spears	Beaumont, TX	30.08615	-94.10158
ARB29H41187B98F0EF	Terry Callier	Chicago	41.88415	-87.63241
